Target,Run,Res,LRes,LTarget
0.5,1,0.4870840676921033,-0.3123960757794232,-0.3010299956639812
0.5,2,0.4948996611950072,-0.30548284350383503,-0.3010299956639812
0.5,3,0.4803799387064128,-0.31841513759516216,-0.3010299956639812
0.5,4,0.49710951562609784,-0.3035479235551205,-0.3010299956639812
0.5,1,0.5510859482919146,-0.2587806625674971,-0.3010299956639812
0.5,2,0.48008198132491314,-0.318684593880893,-0.3010299956639812
0.5,3,0.4660356113727511,-0.3315808961173698,-0.3010299956639812
0.5,4,0.49636126030517996,-0.3042021213961632,-0.3010299956639812
0.8,1,0.8169318909215135,-0.0878141498690088,-0.09691001300805639
0.8,2,0.7565061486493473,-0.12118753781444833,-0.09691001300805639
0.8,3,0.752141058139106,-0.1237007032559718,-0.09691001300805639
0.8,4,0.822163977665075,-0.08504155533966115,-0.09691001300805639
0.8,1,0.7275650882868661,-0.1381281484322625,-0.09691001300805639
0.8,2,0.8285803823194197,-0.08166535338298463,-0.09691001300805639
0.8,3,0.8016863788806311,-0.09599549525658899,-0.09691001300805639
0.8,4,0.810905239973946,-0.09102989321286455,-0.09691001300805639
1,1,0.8849981548643249,-0.053057634763278995,0
1,2,1.050786608747127,0.021514529488712526,0
1,3,0.9575060827323013,-0.018858458415546016,0
1,4,0.9355704211181767,-0.028923517247902226,0
1,1,0.961387737558277,-0.01710142157156799,0
1,2,1.0173298384772478,0.007461782624137112,0
1,3,0.9631426789616359,-0.01630937217369683,0
1,4,0.9434939166273272,-0.025260895693750937,0
1.25,1,1.2270064244328236,0.08884683663769728,0.09691001300805642
1.25,2,1.1993446646219068,0.07894400748013121,0.09691001300805642
1.25,3,1.2250043685774195,0.08813763747253826,0.09691001300805642
1.25,4,1.3485489547298204,0.12986671673857073,0.09691001300805642
1.25,1,1.1773671618267407,0.0709119186544034,0.09691001300805642
1.25,2,1.2339380538210796,0.09129335778558727,0.09691001300805642
1.25,3,1.1804255465127853,0.07203859983629109,0.09691001300805642
1.25,4,1.3163201087657248,0.11936151584727793,0.09691001300805642
2,1,2.01681639973093,0.30466636414582404,0.3010299956639812
2,2,2.083475052468374,0.3187883045820232,0.3010299956639812
2,3,1.8047220427515485,0.2564103228096471,0.3010299956639812
2,4,2.056492325877484,0.31312709321048415,0.3010299956639812
2,1,2.1853827347194583,0.3395275076773779,0.3010299956639812
2,2,1.9346608576892692,0.28660484504330497,0.3010299956639812
2,3,2.0275268748336703,0.30696661948719434,0.3010299956639812
2,4,1.9400413580899436,0.28781098838321023,0.3010299956639812
